Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId
0030R000010PuyCQAS,,,0010R00000wEjJ4QAK,Chough,Bok,,Bok Chough,2035 NE Cornelius Pass Road,Hillsboro,OR,97124,USA,,,,"{""city"":""Hillsboro"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97124"",""state"":""OR"",""street"":""2035 NE Cornelius Pass Road""}",2035 NE Cornelius Pass Road,Hillsboro,OR,97124,USA,,,,"{""city"":""Hillsboro"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97124"",""state"":""OR"",""street"":""2035 NE Cornelius Pass Road""}",(555) 872-1350,,(555) 531-9115,(555) 493-3270,,,,bok.chough@example.com,,,,Web,1968-10-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyCQAS,,,Pending,
0030R000010PuyDQAS,,,0010R00000wEjJ5QAK,Groner,Jefferey,,Jefferey Groner,500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",(555) 297-9786,,(555) 715-8972,(555) 225-8323,,,,jefferey.groner@example.com,,,,Partner Referral,1990-09-01,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyDQAS,,,Pending,
0030R000010PuyEQAS,,,0010R00000wEjJ6QAK,Edmison,Gena,,Gena Edmison,551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",551 Oakdale Rd,Jamestown,NC,27282,USA,,,,"{""city"":""Jamestown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27282"",""state"":""NC"",""street"":""551 Oakdale Rd""}",(555) 664-2548,,(555) 845-9070,(555) 769-5552,,,,gena.edmison@example.com,,,,Partner Referral,1953-09-10,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyEQAS,,,Pending,
0030R000010PuyFQAS,,,0010R00000wEjJ7QAK,Pott,Elaina,,Elaina Pott,929 108th Ave NE,Bellevue,WA,98004,USA,,,,"{""city"":""Bellevue"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98004"",""state"":""WA"",""street"":""929 108th Ave NE""}",929 108th Ave NE,Bellevue,WA,98004,USA,,,,"{""city"":""Bellevue"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98004"",""state"":""WA"",""street"":""929 108th Ave NE""}",(555) 941-8678,,(555) 440-4663,(555) 280-8462,,,,elaina.pott@example.com,,,,Partner Referral,1969-02-16,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyFQAS,,,Pending,
0030R000010PuyGQAS,,,0010R00000wEjJ8QAK,Trentz,Cristin,,Cristin Trentz,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 359-8705,,(555) 139-7385,(555) 303-9380,,,,cristin.trentz@example.com,,,,Other,1970-03-05,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyGQAS,,,Pending,
0030R000010PuyHQAS,,,0010R00000wEjJ9QAK,Canonica,Claire,,Claire Canonica,542 Candido Hills,Miles City,MT,59301,USA,,,,"{""city"":""Miles City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59301"",""state"":""MT"",""street"":""542 Candido Hills""}",542 Candido Hills,Miles City,MT,59301,USA,,,,"{""city"":""Miles City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59301"",""state"":""MT"",""street"":""542 Candido Hills""}",(555) 888-2350,,(555) 810-2977,(555) 825-2402,,,,claire.canonica@example.com,,,,Partner Referral,1943-03-28,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyHQAS,,,Pending,
0030R000010PuyIQAS,,,0010R00000wEjJAQA0,Gorglione,Hye,,Hye Gorglione,2084 Waelchi Road,Denton,MT,59430,USA,,,,"{""city"":""Denton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59430"",""state"":""MT"",""street"":""2084 Waelchi Road""}",2084 Waelchi Road,Denton,MT,59430,USA,,,,"{""city"":""Denton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59430"",""state"":""MT"",""street"":""2084 Waelchi Road""}",(555) 935-5600,,(555) 418-9745,(555) 661-6763,,,,hye.gorglione@example.com,,,,Web,1956-12-16,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyIQAS,,,Pending,
0030R000010PuyJQAS,,,0010R00000wEjJBQA0,Berberian,Twanda,,Twanda Berberian,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 727-2021,,(555) 267-7827,(555) 878-1112,,,,twanda.berberian@example.com,,,,Phone Inquiry,1972-09-13,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyJQAS,,,Pending,
0030R000010PuyKQAS,,,0010R00000wEjJCQA0,Martenson,Hilaria,,Hilaria Martenson,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 919-9456,,(555) 974-7998,(555) 297-6440,,,,hilaria.martenson@example.com,,,,Web,1947-01-12,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyKQAS,,,Pending,
0030R000010PuyLQAS,,,0010R00000wEjJDQA0,Darrow,Hyo,,Hyo Darrow,2550 Wasser Terrace,Herndon,VA,20171,USA,,,,"{""city"":""Herndon"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20171"",""state"":""VA"",""street"":""2550 Wasser Terrace""}",2550 Wasser Terrace,Herndon,VA,20171,USA,,,,"{""city"":""Herndon"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20171"",""state"":""VA"",""street"":""2550 Wasser Terrace""}",(555) 159-6548,,(555) 460-5033,(555) 935-5204,,,,hyo.darrow@example.com,,,,Partner Referral,1948-05-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyLQAS,,,Pending,
0030R000010PuyMQAS,,,0010R00000wEjJEQA0,Hsueh,Norbert,,Norbert Hsueh,500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",500 Boylston Street,Boston,MA,02116,USA,,,,"{""city"":""Boston"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""02116"",""state"":""MA"",""street"":""500 Boylston Street""}",(555) 277-4116,,(555) 530-5125,(555) 695-2659,,,,norbert.hsueh@example.com,,,,Web,1967-10-01,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyMQAS,,,Pending,
0030R000010PuyNQAS,,,0010R00000wEjJFQA0,Crull,Annamarie,,Annamarie Crull,361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",361 Centennial Parkway,Louisville,CO,80027,USA,,,,"{""city"":""Louisville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80027"",""state"":""CO"",""street"":""361 Centennial Parkway""}",(555) 115-9439,,(555) 222-7329,(555) 141-6487,,,,annamarie.crull@example.com,,,,Phone Inquiry,1975-12-16,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyNQAS,,,Pending,
0030R000010PuyOQAS,,,0010R00000wEjJGQA0,Eagan,Chester,,Chester Eagan,929 108th Ave NE,Bellevue,WA,98004,USA,,,,"{""city"":""Bellevue"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98004"",""state"":""WA"",""street"":""929 108th Ave NE""}",929 108th Ave NE,Bellevue,WA,98004,USA,,,,"{""city"":""Bellevue"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98004"",""state"":""WA"",""street"":""929 108th Ave NE""}",(555) 256-1351,,(555) 531-3302,(555) 375-1372,,,,chester.eagan@example.com,,,,Phone Inquiry,1941-06-14,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyOQAS,,,Pending,
0030R000010PuyPQAS,,,0010R00000wEjJHQA0,Mcinally,Oren,,Oren Mcinally,1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",1541 E 4th St,Casper,WY,82601,USA,,,,"{""city"":""Casper"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""82601"",""state"":""WY"",""street"":""1541 E 4th St""}",(555) 647-2925,,(555) 504-1184,(555) 536-5251,,,,oren.mcinally@example.com,,,,Phone Inquiry,1947-11-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyPQAS,,,Pending,
0030R000010PuyQQAS,,,0010R00000wEjJIQA0,Warton,Vanesa,,Vanesa Warton,301 Sherman Street,Huntington,IN,46750,USA,,,,"{""city"":""Huntington"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46750"",""state"":""IN"",""street"":""301 Sherman Street""}",301 Sherman Street,Huntington,IN,46750,USA,,,,"{""city"":""Huntington"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46750"",""state"":""IN"",""street"":""301 Sherman Street""}",(555) 961-8128,,(555) 194-2565,(555) 691-7252,,,,vanesa.warton@example.com,,,,Phone Inquiry,2004-12-29,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyQQAS,,,Pending,
0030R000010PuyRQAS,,,0010R00000wEjJJQA0,Killam,Imogene,,Imogene Killam,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 476-2281,,(555) 946-9401,(555) 949-9082,,,,imogene.killam@example.com,,,,Partner Referral,1961-04-04,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuyRQAS,,,Pending,
0030R000010PuySQAS,,,0010R00000wEjJKQA0,Caravantes,Coralie,,Coralie Caravantes,541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",541 SW Georgetown Way,Beaverton,OR,97006,USA,,,,"{""city"":""Beaverton"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97006"",""state"":""OR"",""street"":""541 SW Georgetown Way""}",(555) 195-4933,,(555) 145-4923,(555) 390-9049,,,,coralie.caravantes@example.com,,,,Partner Referral,1995-09-25,,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,0050R0000041BRPQA2,2020-01-29T21:51:01.000+0000,,,,,,,,,/services/images/photo/0030R000010PuySQAS,,,Pending,
